text,createTime,sentiment_score,sentiment_label
"jadi relate sama istilah ""jadi pemimpin emg harus siap dibenci""",1764928700,0.08241776,positive
"bantu salah, gak bantu juga salah, MAU NYA GIMANA SIHH",1764931696,0.0389629,neutral
"kadang ga paham sm yg hujat, kek mau nya apasi gimanaaa gitu loh, setiap presiden atau wakil presiden pasti di rujak mlu",1764927748,0.061545342,positive
"Allahuakbar, emg bnr indonesia tuh kudu ganti rakyat deh, apapun yang dilakuin pemerintah skrg semuanya serba salah. Apapun itu ga luput dri hujatan netizen😔",1764937593,0.0058380365,neutral
orang sebaik ini masih aja ada yang hujat,1764932659,0.12355995,positive
keknya presiden sama wakilnya napas aja salah di mata orang2 wkwkwk.... ngelakuin A dikomen B dikomen kek ada ajaa perbandingan nya,1764934267,0.11242136,positive
"Ya Allah baca komennya, we’re doomed😭😭",1764936990,-0.005069822,neutral
GANTI RAKYAT AJE BERISIK BGT SEGALA ARAH DI HUJAT MULU HERAN AMAT LIATNYA 💔,1764930515,0.113681585,positive
"emang tugas dia guys,please jangan buat bare minimum jadi sesuatu yang wah.",1764924873,0.12536457,positive
"serba salah bgt di mata netizen, ada terus yang dikomentarin",1764924507,-0.00014862418,neutral
Sedihnya ada temenku yg bener2 gasuka sm beliau dan pakpres smpe cari2 kesalahannya teruss🥺,1764937903,0.1256868,positive
"harusnya catat juga 19 juta lapangan pekerjaan, biar kami ngelamar kerjaan",1764933856,-0.10814661,negative
Kaya lagi nyatet pesenan warkop,1764940925,-0.12232998,negative
biar kaga planga plongo bgt💀,1764927732,-0.11890027,negative
SAATNYAA GANTI RAKYATTTT🙏🥰,1764943666,0.036261946,neutral
"Kerja di hujat, ga kerja di hujat. Ga capek apa ya hati dan pikiran org org yg gampang ngehujat😌 w aja yg cuma baca hujatannya capek anjr istigfar mulu",1764930971,0.12596348,positive
"nyatet salah ga nyatet salah, pokoknya semua salah. wess heran polllll",1764936062,-0.0012316108,neutral
"jadi udah ya guys, dia menjalankan kewajibannya sebagai wapres aja udah good bangett, masa kaya gini masih di hujat? klo beliau ngga menjalankan tugasnya di hujat juga kan? jadi yang bener menurut kalian tu gimana? beliau harus gimana? kalian kalian yang ngehujat beliau ini emang udah ngelakuin apa buat para korban? be smart and wise, se enggaknya kalo kalian ngga bisa bantu ya jangan ngehujat",1764933883,0.12561652,positive
orng keliatan tuluss gini kok masi bnyak yg hujatt,1764932112,0.12686077,positive
udh paling bener ganti RAKYAT,1765069225,0.0016563237,neutral
ada yg beneran kerja tp dihujat.,1764944836,-0.0018494725,neutral
"gais jangan jahat² lah kalau berkomentar, beliau melakukan hal seperti ini aja masih banyak cacian, be smart gais...",1764926384,0.12652424,positive
"ingat,apapun yang dilakukan sama pak wapres, bakalan tetap salah dimata sang pembenci 😌",1764922405,0.124607,positive
"gk datang di hujat.. pas datang juga tetap di hujat, hadehhh",1764940350,0.053723007,positive
"Regardless of how much people hate on him, but from what I see, he's doing his job. Mau dibilang bare minimum kek, ""emang udah kewajibannya"", pencitraan, etc pointnya beliau tetap turun dan berusaha menjalankan tugas dan tanggung jawabnya, mungkin banyak attitude atau perkataan serta keputusan yg kurang bisa diterima, but in this situation if he doesn't have the heart, the empathy, he won't go down there. We can criticize, we can dislike people that much, you don't have to love or praise them but don't let the hatred blind us to see the good side of everyone, everything. Kebanyakan kita juga belum punya kesempatan untuk terjun langsung untuk membantu saudara2 kita di sana. Doakan saja mereka2 yang bertugas apapun itu untuk jd perpanjangan Tuhan membantu orang2 yg sedang menderita ini, supaya tepat sasaran, supaya semua terbantukan.🙏🏻✨️",1764931512,-0.015859991,negative
"Gx kerja di hujat, kerja makin dihujat🤣😂 semua akan salah dimata netizen",1764925661,0.12088248,positive
"dari pemerintahan turun kelapangan dihujat
ga turun ke lapangan dihujat
bikin solusi dihujat
ga bikin juga dihujat
intinya apa aja salah kata gue mah",1764928135,0.12517342,positive
ga bela siapa2 tapi biasanya yg diatasnya kerjanya udah bener kadang bawahannya yg bikin onar dan yg disalahin presiden dan wapresnya padahal mereka kerjanya udh semaksimal mungkin,1764936447,0.1217269,positive
"wapres sblmnya ga keliatan kerja di hujat,yg skrg kerja pun di hujat... trus maunya gimana😹",1764938902,0.12218189,positive
"btw aku coblos 03 kemarin tapi pemilu udh selesai jadi udahlah bawa"" pemilu lagi, dan walaupun kalian banyak yang bilang ""its a bare minimum"" tapi aku tetep bakal apresiasi wapres kita sekarang karena seingatku wapres yang sering muncul bantu presiden ya beliau, ngewakilin kunjungan ke luar negeri dsb. ini emang tugas mereka sebagai pejabat negara tapi gafa salahnya menghargai dan mengapresiasi kok",1764929285,0.12170142,positive
"that's a bare minimum he should do for us (rakyat), but honestly i don't think that he'll do something even he take notes on it.",1764931679,-0.075609386,negative
"KERJA DIBILANG PENCITRAAN, GAK KERJA DIBILANG GAK PEDULI MASYARAKAT. yang gak setuju silahkan berdebat dengan saya",1764943799,0.120747685,positive
setidaknya dia ga akting manggul beras dan ga make rompi anti peluru guysss 😭😭,1765075496,-0.0054259,neutral
"mas wapres selalu salah di mata Rakyat nya😭😭😭, hnya di Indonesia Wapres di hina, du rendahkan😭",1764930362,0.119437695,positive
"siapapun pemimpinnya, apapun kegiatannya, namanya pembenci akan membenci semua hal. setidaknya dia mendengarkan dan terjun langsung drpd mereka2 yg hanya bisa komentar",1764926937,0.12604347,positive
"Apapun yg dilakukan, semua akan salah dimata seorang pembenci. 🙃",1765081354,0.12188429,positive
"heran pada hujat pak Gibran, padahal baru ini wapres yg kerjanya keliatan🤣",1764973930,0.12560031,positive
"@your.jenniekim 🌙:Padahal dia cuma bertugas sesuai kapasitas dia , tp kenapa byk yg gasuka bahkan ngehina dia ? Apa manusia skrg udh ga punya hati dan empati?",1764930198,0.09489885,positive
saking jarangnya liat pejabat begini..kita JD nangis ya wkwkw,1764934734,0.00424242,neutral
Sumpah di x overhate bgttt soal wapres😭😭😭,1765082947,-0.10395682,negative
"gesss... beliau udah dateng aja itu udah sangat amat luar biasa, karena kalian nggak tau gimana padatnya jadwal beliau, kalau mau dipikir ni ya bahawan beliau banyak nggak perlu turun langsung kelapangan, tapi karena beliau punya rasa pedul(Insya Allah), jadi beliau yang turun langsung kelapangan😁ayo ubah pola pikir supaya SDM Indonesia itu bisa berkualitas.",1764944284,0.12469301,positive
Taktik untuk panen suara tahun 2029,1764939918,-0.07760453,negative
"“sebaik apapun kita, tidak akan pernah terlihat di mata orang yang membencimu”. sehat sehat pak gibran",1764928568,0.12690109,positive
"ga ngebela siapa² tapi... sakit ni negara, pemerintah turun malah dihujat giliran ga turun pada protes ""pejabat kerjanya apasi""",1764929016,0.0064130723,neutral
"iya bare minimum klo gibran yg lakuin, klo anis yg lakuin mah udah di puja pujaa ini kwkwkwkwk🙏🏻🙏🏻🙏🏻🙏🏻",1765066201,0.012026489,neutral
wapres tahun ini berguna banget . sampe gak ingat kapan trakhir kali punya wapress 😭,1764926642,0.12526402,positive
"@ridhooo:Pas baca komen, memang harus ganti rakyat",1764927059,0.0030351281,neutral
"Kerja dihujat, ga kerja dihujat, emang paling bener dah ganti rakyat nya 🗿",1765008768,0.12651592,positive
PADAHAL JARANG BGT NEMUIN PEJABAT YG KAYAK GINI MASIH ADA AJA YG NGEHUJAT😌ASLI KALIAN PENGEN PIMPINAN YG KEK APA SIHHHHHH SEBENERNYA . DIKIRA GAMPANG JADI PEMIMPIN,1764978801,0.12475747,positive
pemimpin setempat malah umroh. wapres aja turun ke lapangan 😪,1764993531,0.1221897,positive
Siapa yang setuju ganti rakyatttttttt?????🤟🤟🤟🤟,1764945786,0.029375136,neutral
"indonesia kudu ganti rakyat emg, giliran pejabat bener, tetep aja disalahin",1764927350,0.043807447,neutral
orang sebaik ini masih ada aja yang hujat 🥲,1764934552,0.12481883,positive
"Disini keliatan bgt kenapa dia yg jadi Wapres , karena secara mental fisik dll dia sangat kuat ngadepin rakyat dilapangan maupun di medsos 🙂",1765082007,0.12538412,positive
semua anak anak menyukai gibran kecuali anak abah 😎,1764941031,0.10175645,positive
dia dari tatapannya bner2 dngerin omongan warga loh . ngga cuma mangut2,1764948122,0.07696456,positive
emang paling bener tuhh ganti rakyat🗿,1764925820,0.08624101,positive
kalo uda benci ya semua kebaikan emg ketutup guys🙏🏻,1764930619,0.11921573,positive
"yg namanya org gasuka pasti ada aja, kalo aku selama pejabat itu melakukan aksi daripada sekedar omongan aku bakal respect, dan ga cuma pencitraan",1764924381,0.124650896,positive
"YANG PENTING KERJA, BUKAN BILANG GA SANGGUP TERUS BERANGKAT UMROH SAMBIL RAYAIN ULANG TAHUN",1764931053,0.11789435,positive
bahkan pada saat ada bencana pun pembenci akan tetap melihat orang yang dia benci melakukan kesalahan,1765076281,0.040872037,neutral
d ksh capres yg bener malah d hujat.. dl capres g ada yg keliatan klo ada bencana pd diem2 aja...,1764943535,0.11564478,positive
"Ga gerak salah, lagi gerak juga salah. Emang aja manusia tempatnya ngoreksi manusia lain. Diliatin dulu aja gitu loh, kalo misalkan isi catatannya ga ada actionnya baru dah rujak.",1764939070,0.018366128,neutral
"pada ngomong bare minimum bare minimum, ntar kalo dia kasih yang lebih dari bare minimum dibilangnya pencitraan😌",1764934648,0.11566767,positive
bare minimum doang udah kaya abis ngapain aja yg muja muja nih,1764925196,-0.025993615,negative
"bare minimum anjir, ya tuhasnya jadi wapres kan emang gitu? kenapa pada kaya nganggep itu spesial dah",1764926924,0.034443617,neutral
"it's a bare minimum sebagai pejabat anjr, jangan di romanticizing lah wkwk",1764926724,-0.12378287,negative
"ah elah 😭 itu bare minimum, gak se wow itu anjir",1764926749,-0.021832347,neutral
"mie ayam 1, es teh 1",1765075788,-0.01774618,neutral
Serba salah ya jadi beliau,1764929133,-0.0005365312,neutral
"klo gibran dibilang bare minimum, coba klo pujaannya udah di bangga2in sambil jelek2in yg lain pasti😭",1764927714,0.10636872,positive
meskipun aq ga milih Gibran..tapi Klo dia datang kedaerah bgini dengan nyatet2 keluhan..jangan dihujat lah guys... biarin aja . doakan dia amanah memenuhi keluhan2 rakyat yg dia tulis itu.. 🙏,1764933035,0.12686619,positive
"ga sanggup baca komenan di X, sakit hati bgt bacanya",1764931131,0.00041753054,neutral
orang penting no 2 di Indonesia aja ga pake rompi anti peluru 🗿,1764925408,0.11473173,positive
"yakalo tau ini bare minimum berarti beliau udh bertugas dgn benar donggg, ayo apresiasi kenpa malah cari kesalahan? 🤗 Makasii ya pa wapres, smg bencana disumatera sana bisa segera diatasi, segera dapat pulih lagi, aman, sehat seperti sedia kala. Buat korban smg diberi kesabaran yg lebih-lebih lagi, digantikan dengan rezeki yg tak terhingga oleh Tuhan YME, disehatkan dan permudah semua urusannya. Semoga tidak ada bencana lagi dibgian Indonesia manapun, Aamiin yra",1764931252,0.12604284,positive
"fix kita yg harus ganti rakyat,wapres mau langsung turun aja ga luput dari hujatan😭😭",1764931237,0.12481034,positive
"Rasullullah aja banyak yg hujat, apalagi gibran 🙏",1764939570,0.12533352,positive
"lihat, dia ngga pake rompi anti peluru dan beras dgn foto segede gaban😔😔",1764949919,-0.00045612454,neutral
"ga didatengin dirujak
didatengin dikatain juga, mau kalian apa si anjir 😭",1764928653,0.112626016,positive
Dia berusaha jdi lebih baik apa salahnya,1764946104,0.12354112,positive
ITU EMANG TUGAS DAN BARE MINIMUM SEBAGAI WAPRES ORANG YG GAJI DIA RAKYAT 🤣,1764925377,0.12320495,positive
"dia masih terlihat kecil di mata pembenci , tp ingat yg memberi rezeki itu Allah dan iya di tunjuk langsung oleh Allah untuk jadi wakil pemimpin. .",1764926770,0.12235588,positive
kok heran sehh jadi gibran banyak serba salah muluh kek nya ni netizen or rakyat ganti ahh peningg pala 😭,1764937023,0.009328276,neutral
padahal keliatan bgt kalo gibran tulus org nya😭,1764928436,0.12512007,positive
"capek bgt ga sih? badan capek mental juga capek dia tuh.
ngadepin rakyat yg udh diusahain pun masih tetap salah.",1765086893,0.12676421,positive
"Dia sendiri loh yg nyatet, gak nyuruh ajudannya..👍🏼",1765070574,0.07832259,positive
udah sebaik ini tetep dihujat emang harus ganti rakyat keknya,1764936252,0.12668365,positive
"GA KERJA SALAH, KERJA SALAH, KERJA GAADA HASIL SALAH, KERJA HASIL BAGUS SALAH.",1764929918,0.018271029,neutral
nah ini baru bener se ennga nya ke inginan warga nya di ingat dan mudahan balik lagi bawa harapan mereka terwujud aamiin,1764938237,0.12687147,positive
"maaf nih, yang hujat beliau udah ngelakuin apa ya? setidaknya dia udah mau ke lokasi bencananya, bukan cuma lewat sosial media",1765024447,0.07823384,positive
jadi pejabat serba salah anj,1764938482,-0.0004261136,neutral
Sehat” pak Prabowo dan pak Gibran❤️,1764935082,0.12694639,positive
jangan sampe gini,1765112467,-0.06252587,negative
"noh di x gibran dirujak, yg keliatan kerja aja netizen masih serba salah, apalagi yg ga kesorot sama sekali😭",1764927222,0.03474003,neutral
Dy sudah berusaha jadi yg terbaik tp ttp aja selalu salah d mata pembenci 🥺,1764972535,0.12482682,positive
"orang kalo dah benci, apapun yg dilakuin beliau keliatan salah",1764997205,0.10363859,positive
sekelas wapres aja ga pake rompi anti peluru sebelah.....,1764927915,0.11636922,positive
HUAAAAAA SERBA SALAH MENDING GANTI RAKYAT AJA HAHAHAH,1764939871,0.0003836453,neutral
"skg gw sadar.,kenapa dia BS berthn jadi wapres termuda,dia dewasa berpolitik,sabar bgt woy,dihujat org byk jwbnya wujud demokrasi,pdhl udah kebablasan",1764978128,0.12665614,positive
"Dia udah berusaha semaksimal mngkin ,pliss jngan hujat lagi😩",1764949579,0.12610456,positive
sdm kita emng harus diperbaiki si,1764937166,0.032242,neutral
"aku bukan pendukung dia yaa gaes,
tapi please,
ini tuu hal basic.
dia nyatet pake pulpen dan kertas, biar ingat.
kalo dia nyatet di hp, ntar d kira main hp pas masyarakat mengadu.
dia berusaha memberi secercah harapan untuk masyarakat disana.
indonesia sedang berduka, jangan saling menghujat. masalah suku, agama, politik, kesampingkan dlu. ini masalah kemanusiaan.",1765080216,0.053010494,positive
2026 ganti rakyat aja,1764939196,-1.4901161e-07,neutral
"ga ada videonya dibilang ga kerja, ada videonya dibilang pencitraan. kaya wapres sebelum kerja lebih bagus aja🫩",1764939631,0.12418774,positive
d bantu salah..ga d bantu katanya ga peduli. emang bnr harus ganti rakyat,1764987656,0.12123206,positive
bare minimum....,1764933929,-0.07614547,negative
"""mie ayam 1""",1764942555,-0.00418061,neutral
TIM YG SLALU DUKUNG PRABOWO GIBRAN😌☝️☝️❤️❤️❤️,1764930298,0.10320476,positive
tugas pak RT,1764931911,-0.12074223,negative
"jd sbnrnya org"" pembenci ini tuh maunya siapa presiden dan wakilnya? 🙂",1764930699,0.1154052,positive
biarkan dia mencoba gaesss... dia bahkan gak akting bawa beras atau pake style model2an.. kasih ksempatan buat dia..,1764931919,0.12503082,positive
2026 ganti rakyat,1764930175,-0.00021493435,neutral
tulus bgt ya mas Gibran dia mau turun kelapangan 😭 Guys disini ada yang mau gabung Freelance jadi Admin Beauty Skincare Centella engga?Lumayan WFH benefitnya,1764940251,0.12660283,positive
"buat yg bilang bare minimun, LU PERNAH GA LIAT PAK MA'ARUF AMIN SEGININYA SM RAKYAT???",1764926768,0.1268492,positive
"ga abis pikir sama yg suka hujat, ini kayanya harus ganti rakyat sih",1764930010,0.12463486,positive
itu emang tugasnya pejabat dan pemerintah ga usah terlalu berlebihan,1764928584,0.07055828,positive
baru di era pak Jokowi masyarakat mudah brtmu dgn wakil pimpinannya.tanpa jarak,1765068169,-0.00039491057,neutral
2026 ganti warga ga sih? miris ma yg hujat2,1764978522,0.04521388,neutral
Sebener benernya pemimpin pasti aja ada salahnya dimata rakyatnya.,1764931909,0.10064027,positive
emng paling bener gantri rakyat,1764935431,0.011740804,positive
pak gibran klo gini kok ganteng sii😭,1764932816,0.101416856,positive
"ga bermaksud belain, tp ini yg lebih mending dikit ketimbang yg udah2",1764935065,0.12503555,positive
"BUAT KALIAN YANG BILANG ""INI BARE MINUMAN"", EMANG!
TAPI KAN INI BUKAN HAL NORMAL YANG DILAKUIN PEMERINTAH KITA, JADI PLEASE LAH KALAU KALIAN LIAT HAL NORMAL KEK GINI HARGAIN JANGAN DIHUJAT!",1764936633,0.1143834,positive
"liat komen disini kayanya pada kaget dapat wapres yang aktif banget, makanya pada ngehujat, orang biasanya dapat pejabat yang....",1764945382,0.122980654,positive
#2026gantirakyat,1764937434,-0.0010248125,neutral
SEKELAS PRESIDEN BRO GA MAKE ANTI PELURU LAH SEBELAH ??🤣,1764932537,0.0008151829,neutral
"ngakak netizen mah, bertindak langsung di blg bare minimum, nanti gaada tindakan dihujat juga😭😭😭😭😭",1765072406,0.09068072,positive
paling cocok ganti rakyat si,1764939631,0.005344212,neutral
Ganti rakyat ga sih? Se kerja nyata itu masih salah,1765074932,0.119716406,positive
"puan maharani ngapain ya sekarang, kangen banget guwe
pasti beliau sedih banget melihat rakyatnya kena musibah",1764931031,0.050287962,positive
"emang sudah seharusnya pemerintah begini,mendengar dan menyalurkan kebutuhan rakyat
tapi bisa ga sekali aja apresiasi perbuatan baik, kalo yg cuma foto salah dan yg dateng mendengarkan rakyat juga salah ya berarti hati kalian yg bermasalah",1764928402,0.0008960664,neutral
"Kasian nggak sihh, grgr pemerintah sebelumnya jdi pak pres sama pak wapres skrg yg kena getahnya 🥺",1764932467,0.01569745,neutral
buat yg ngata²in beliau...emang kalian udah bisa bantu??? sudah merasa hebat?...stop gaess jgn hujat siapapun...selagi kita belum bisa membantu🙏,1764931646,0.12666917,positive
gibran sebagai wapres aja g nunjuk nunjuk,1765069358,0.02185756,neutral
Full effort ngene Ijeh wae dihujat😭😭,1764930425,0.12682503,positive
ga nongol dicariin giliran nongol dihujat 😭😂,1764983779,-0.008021057,neutral
"sebenernya bukan lebay gais, tapi di indonesia tuh mungkin kita jarang ngeliat para petinggi/pejabat ngelakuin hal kayak gini, jadi ketika kita liat ada pejabat yang peduli sama rakyat waw amazing nih orang beda banget dari yang lain, padahal ya itu memang tugas seorang wakil rakyat.
ya mungkin kiita tuh udah terbiasa dengan image wakil rakyat tuh ga peduli sama rakyat mereka cuma mau uang sama jabatan",1764937376,0.09933305,positive
"miris bgt, di indo presiden sama wapres dihujat abis abisan",1764938859,0.12507576,positive
"yg hujat tuh udah bantu seberapa banyak sih sebenernya, tolonglah ntr kalau gk keliatan salah lagi 😭",1764942892,0.12643766,positive
merakyat salah menghilang juga salah emang paling bener ganti rakyat,1764929789,0.12241471,positive
performative final boss,1764949311,0.065054685,positive
"orang kerja salah, ga kerja juga salah heran gua ma",1764932964,0.121822596,positive
kadang yg salah itu ga selalu pemerintah tau..,1764952417,-0.0012407899,neutral
"Di indonesia doang wapres di hujat padahal udah coba cari solusi mereka ngomong doang kayak udh donasi buat yang membutuhkan, kalau udah juga org yang punya harga diri pasti jaga kesopanan nya,",1764927211,0.1265085,positive
awas panas,1764921960,-0.105409384,negative
"INDONESIA GA PERLU GANTI PRESIDEN&WAKILNYA, INDONESIA CUMA PERLU GANTI RAKYAT🙏😭",1764947727,0.0048668683,neutral
Tim yang gapernah hujat beliau. Yang hujat udah bantu apa emang ?,1764933869,0.12139797,positive
udah lah 2026 ganti warga aja,1764928580,-0.00032109022,neutral
Orang” sibuk pada turun ke lokasi untuk memberi bantuan tp netizen sibuk cari kesalahan orang yang lagi ngebantu,1764926503,-0.007259816,neutral
punya presiden dan wapres sebaik ini masih aja dihujat,1765086208,0.12572324,positive
emamg tugas dia kocak,1764926653,-0.11811346,negative
kaga cukup tu buku buat nulis keluhan warga,1764924311,-0.023563653,neutral
"yg sepuh salah, yg muda salah, elu maunya yg gmna sih anjir mnding ganti rakyat aja dah, kecuali gw😁",1764935292,0.07907772,positive
"itu dicatat krn banyak keluhan yg masuk pastinya kan, gak mungkin dia bkln inget satu² semua keluhan org² klo sebanyak itu. makanya dia memilih sambil dicatat, dan itu bagus tau. jgn cmn bisanya menghujat aja, kalian jg klo jd dia beliau blm tentu bkln bisa inget sebanyak itu kn klo enggak di catat",1764933823,0.1099911,positive
"ko ga pake rompi sih,pejabat apaan kaya gitu",1764923598,-8.404255e-06,neutral
kayak mau ujian aja lo bran,1764931954,-0.09901747,negative
"Pak jokowi,Prabowo,gibran,Anis,Ganjar semua dihujat emang paling bener ganti Rakyat😭😭😭",1764937518,0.031553715,neutral
Ga kebayang cwe2 yg lagi haid😭,1764940072,0.045457214,neutral
yaudah itu kerjaannya kocak ngapa lu pada kaget,1765071821,-0.0015760958,neutral
"semoga sehat selalu ya pak wapres, biarin banyak yg ngatain bare minimum lah atau apalah karena kenyataannya banyak pejabat yang sampai sekarang masih diam saja",1764927422,0.12673795,positive
"@z:ada aksi nyata dihujat, ga ada aksinya juga di hujat.
emg paling bner ganti rakyat nya aja",1764929831,0.00035780668,neutral
"niatnya pasti baik, semoga rencana yang dia pikirin juga baik, berbaik sangka lebih baiik, daripada berburuk sangka.",1764926490,0.10772273,positive
"@miu-miu🌼🍃:@z:ada aksi nyata dihujat, ga ada aksinya juga di hujat.
emg paling bner ganti rakyat nya aja",1764930710,0.0010944009,neutral
"mungkin ini emng bare minimum sebagai pejabat, tapi saking belum pernahnya ada yg kaya beliau ini satu langkah perubahan yg baik, menyadarkan yg lain kalau sebagai org yg dipilih oleh rakyat sudah sepatutnya peduli pada rakyat, jadi walaupun bare minimum ttp harus di apresiasi.
lihat dari segi positif aja video ini bukan untuk pencitraan tapi sebuah dokumentasi kalau wapres sedang melakukan salah satu tugasnya semaksimal mungkin.
don't judge ini cuma opini ku aja☺️",1764931537,0.11956525,positive
gw dah ga ngerti lagi sama netijen yang apa apa di komenin😔,1764925132,0.08146316,positive
"alasan kalian yg ngehate dia mulu itu apa sih?
emg dia pernah ngapain hidup kalian? menyusahkan kalian?",1764940348,0.090050995,positive
gara gara anis ni lah banyak orang sibuk membenci satu sama lain. alih alih saling bantu dan merangkul dan menghargai,1765072610,0.10635486,positive
"berdoa, semoga semua hal yg di lakuin itu beneran amanah dan aman untuk semua.. hopeless nya jangan sampe ngehujat bahkan bully yaaa❤",1764924852,0.12683877,positive
"waduh pak gibran bisa aja nih, biar ga ngeluarin bnyk budget kampanye ya pak? biar sekalian gitu 🥰",1764926735,0.014657915,neutral
semua manusia berusaha lebih baik. kita ga terjun dilapangan. cuman bisa melihat dan berkomentar. saya bukan pendukung prabowo dan gibran. cuman allah sudah menetapkan mereka jadi pimpinan negara . saya cuman bisa mendukung saja . semoga komentar yang jelek tidak berbalik kekita. 🥰,1764934631,0.12550628,positive
