emoji,unicode,aliases_all
🎐,🎐,"lonceng, angin, gemerincing, perayaan"
🎑,🎑,"perayaan, bulan, upacara"
🧧,🧧,"amplop, merah, hadiah, hongbao, lai, see, semoga, beruntung, uang"
🎀,🎀,"pita, perayaan"
🎁,🎁,"kado, bungkusan, hadiah, kotak, perayaan"
🎗️,🎗️,"pita, pengingat, perayaan"
🎟️,🎟️,tiket_masuk
🎫,🎫,"tiket, masuk"
🎖️,🎖️,"medali, militer, perayaan"
🏆,🏆,"piala, hadiah"
🏅,🏅,medali_olahraga
🥇,🥇,"medali, emas, juara, pertama"
🥈,🥈,"medali, perak, juara, kedua"
🥉,🥉,"medali, perunggu, juara, ketiga"
⚽,⚽,bola_sepak
⚾,⚾,"bisbol, bola"
🥎,🥎,"sofbol, bola, sarung, tangan"
🏀,🏀,"bola, basket, loncat"
🏐,🏐,"bola, voli, permainan"
🏈,🏈,"american, football, amerika, bola"
🏉,🏉,"sepak, bola, rugbi, football, rugby"
🎾,🎾,"tenis, bola, raket"
🥏,🥏,lempar_cakram
🎳,🎳,"bowling, bola, game"
🏏,🏏,"kriket, bola, pemukul, permainan"
🏑,🏑,"hoki, lapangan, bola, permainan, stik"
🏒,🏒,"hoki, es, bola, karet, permainan, stik"
🥍,🥍,"lacrosse, bola, gawang, tongkat"
🏓,🏓,"ping, pong, bet, bola, pemukul, permainan, tenis, meja"
🏸,🏸,"bulu, tangkis, game, kok, raket"
🥊,🥊,"sarung, tinju, olahraga, tangan"
🥋,🥋,"seragam, beladiri, bela, diri, judo, karate, taekwondo"
🥅,🥅,"gawang, gol, jaring, olahraga"
⛳,⛳,bendera_di_lubang_golf
⛸️,⛸️,seluncur_es
🎣,🎣,"tongkat, pancing, ikan"
🤿,🤿,"kacamata, selam, menyelam, scuba, snorkel, snorkeling"
🎽,🎽,"kaos, lari, selempang"
🎿,🎿,"ski, salju"
🛷,🛷,kereta_luncur
🥌,🥌,"batu, curling, permainan"
🎯,🎯,"dart, anak, panah, lempar, mata, papan, sasaran, permainan, target"
🪀,🪀,"yo-yo, mainan, naik-turun"
🪁,🪁,"layang-layang, melayang, terbang"
🎱,🎱,"biliar, 8, bola, delapan, game"
🔮,🔮,"bola, kristal, alat, dongeng, fantasi, ramalan"
🪄,🪄,"tongkat, ajaib, penyihir, pria, wanita, sihir"
🧿,🧿,"jimat, nazar, manik-manik, mantra, mata, setan"
🎮,🎮,"video, game, pengontrol"
🕹️,🕹️,"joystick, game, video"
🎰,🎰,"mesin, slot, game"
🎲,🎲,"dadu, permainan"
🧩,🧩,"keping, puzzle, kepingan, petunjuk, saling, terkait"
🧸,🧸,"boneka, beruang, mainan"
🪅,🪅,"pinata, perayaan, pesta"
🪆,🪆,"boneka, bersarang, rusia"
♠️,♠️,"sekop, kartu, permainan"
♥️,♥️,"hati, kartu, permainan"
♦️,♦️,"wajik, kartu, permainan"
♣️,♣️,"keriting, kartu, klub, permainan"
♟️,♟️,"pion, catur, anak, buah"
🃏,🃏,"joker, kartu, permainan"
🀄,🀄,"naga, merah, mahyong, game"
🎴,🎴,"kartu, bunga, game, jepang, permainan"
🎭,🎭,"seni, drama, tampil, teater, topeng"
🖼️,🖼️,"bingkai, bergambar, gambar, lukisan, museum, seni"
🎨,🎨,"palet, pelukis, lukisan, museum, seni"
🧵,🧵,"benang, gulungan, jahit, jarum"
🪡,🪡,"jarum, jahit, jahitan, menjahit, penjahit, sulaman"
🧶,🧶,"gulungan, benang, bola, rajut, sulam"
🪢,🪢,"simpul, belitan, ikatan, kusut, puntiran, tali"
👓,👓,"kacamata, kaca, mata, pakaian"
🕶️,🕶️,"kacamata, hitam, kaca, mata"
🥽,🥽,"kacamata, renang, berenang, mengelas, pelindung, mata"
🥼,🥼,"jas, laboratorium, dokter, ilmuwan, percobaan"
🦺,🦺,"rompi, pengaman, darurat, keselamatan"
👔,👔,"dasi, pakaian"
👕,👕,"kaos, kaus, pakaian, polo"
👖,👖,"celana, jeans, pakaian, panjang"
🧣,🧣,"syal, leher"
🧤,🧤,sarung_tangan
🧥,🧥,"mantel, jaket"
🧦,🧦,"kaus, kaki, kaos, stocking, stoking"
👗,👗,"gaun, pakaian"
👘,👘,"kimono, pakaian"
🥻,🥻,"sari, gaun, pakaian, terusan"
🩱,🩱,pakaian_renang_one-piece
🩲,🩲,"celana, renang, baju, one-piece, pakaian, dalam"
🩳,🩳,"celana, pendek, baju, renang, pakaian, dalam"
👙,👙,"bikini, pakaian, renang"
👚,👚,pakaian_wanita
👛,👛,"dompet, koin, pakaian"
👜,👜,"tas, jinjing, pakaian"
👝,👝,"kantung, pakaian, tas"
🛍️,🛍️,"tas, belanja, hotel"
🎒,🎒,"tas, sekolah, ransel"
🩴,🩴,"sandal, jepit, pantai, zori"
👞,👞,"sepatu, pria, pakaian"
👟,👟,"sepatu, lari, atletik, kets, pakaian"
🥾,🥾,"sepatu, boot, untuk, mendaki, backpacking, kemping"
🥿,🥿,"sepatu, flat, sandal, selop, balet"
👠,👠,"sepatu, hak, tinggi, pakaian, wanita"
👡,👡,"sandal, wanita, pakaian, sepatu"
🩰,🩰,"sepatu, balet, menari, tari, tarian"
👢,👢,"sepatu, bot, wanita, pakaian"
👑,👑,"mahkota, pakaian, raja, ratu"
👒,👒,"topi, wanita, pakaian"
🎩,🎩,"topi, tinggi, pakaian, sulap"
🎓,🎓,"topi, wisuda, pakaian, perayaan, toga"
🧢,🧢,"topi, berlidah, bisbol"
🪖,🪖,"helm, tentara, angkatan, darat, militer, pejuang, prajurit"
⛑️,⛑️,"helm, dengan, palang, putih, muka, p3k, topi, wajah"
📿,📿,"tasbih, agama, doa, kalung, pakaian"
💄,💄,"lipstik, dandan, kosmetik"
💍,💍,"cincin, berlian, romantis"
💎,💎,"batu, permata, berlian, romantis"
🔇,🔇,"speaker, mati, bisu, diam, senyap"
🔈,🔈,"volume, speaker, rendah, lembut"
🔉,🔉,volume_speaker_medium
🔊,🔊,"volume, speaker, tinggi, keras"
📢,📢,"pengeras, suara, keras, pengumuman"
📣,📣,"megafon, bersorak"
📯,📯,trompet_pos
🔔,🔔,lonceng
🔕,🔕,"lonceng, dicoret, bisu, diam, senyap, terlarang"
🎼,🎼,"naskah, musik, skor"
🎵,🎵,not_musik
🎶,🎶,"not-not, musik, not"
🎙️,🎙️,"mikrofon, studio, mik, musik"
🎚️,🎚️,"penggeser, tingkat, level, musik"
🎛️,🎛️,"kenop, kontrol, musik"
🎤,🎤,"mikrofon, karaoke, mik"
🎧,🎧,"headphone, earbud"
📻,📻,"radio, video"
🎷,🎷,"saksofon, instrumen, musik"
🪗,🪗,"akordeon, concertina, kotak, remas"
🎸,🎸,"gitar, instrumen, musik"
🎹,🎹,"keyboard, musik, instrumen, piano"
🎺,🎺,"trompet, instrumen, musik"
🎻,🎻,"biola, instrumen, musik"
🪕,🪕,"banjo, musik, senar"
🥁,🥁,"drum, musik, stik"
🪘,🪘,"gendang, conga, dentum, irama"
📱,📱,"ponsel, seluler, telepon"
📲,📲,"telepon, masuk, panah, panggilan, ponsel, seluler, terima"
☎️,☎️,telepon
📞,📞,"gagang, telepon, penerima"
📟,📟,pager
📠,📠,"mesin, faks, faksimili"
🔋,🔋,baterai
🔌,🔌,"steker, listrik"
💻,💻,"komputer, laptop, pc, personal"
🖥️,🖥️,komputer_desktop
🖨️,🖨️,"printer, komputer"
⌨️,⌨️,"keyboard, komputer"
🖱️,🖱️,mouse_komputer
🖲️,🖲️,"trackball, komputer"
💽,💽,"disk, komputer, mini, optik"
💾,💾,"disket, disk, komputer"
💿,💿,"disk, optik, cd, komputer"
📀,📀,"dvd, blu-ray, disk, komputer, optik"
🧮,🧮,"sempoa, kalkulasi"
🎥,🎥,"kamera, film, sinema"
🎞️,🎞️,"frame, film, sinema"
📽️,📽️,"proyektor, film, sinema, video"
🎬,🎬,"papan, sutradara, film"
📺,📺,"televisi, tv, video"
📷,📷,"kamera, video"
📸,📸,"kamera, dengan, flash, video"
📹,📹,kamera_video
📼,📼,"kaset, video, pita, vhs"
🔍,🔍,"kaca, pembesar, arah, kiri, alat, penelusuran"
🔎,🔎,"kaca, pembesar, arah, kanan, alat, penelusuran"
🕯️,🕯️,"lilin, cahaya"
💡,💡,"bohlam, elektrik, ide, komik, lampu"
🔦,🔦,"lampu, senter, alat, cahaya, listrik"
🏮,🏮,"lampion, merah, bar, cahaya, lentera"
🪔,🪔,"lampu, diya, lentera, minyak"
📔,📔,"buku, catatan, bersampul, dekorasi, sampul"
📕,📕,buku_tertutup
📖,📖,buku_terbuka
📗,📗,buku_hijau
📘,📘,buku_biru
📙,📙,buku_oranye
📚,📚,buku
📓,📓,buku_catatan
📒,📒,"buku, besar, catatan"
📃,📃,"halaman, tergulung, dokumen, gulung"
📜,📜,"gulungan, kertas"
📄,📄,"halaman, tampak, depan, dokumen"
📰,📰,"koran, berita, kertas"
🗞️,🗞️,"gulungan, koran, berita, kertas, tergulung"
📑,📑,"penanda, halaman, buku, tab, tanda"
🔖,🔖,"pembatas, buku, tanda"
🏷️,🏷️,label
💰,💰,"kantung, uang, dolar, kantong"
🪙,🪙,"koin, emas, harta, karun, logam, perak, uang"
💴,💴,"uang, kertas, yen, mata"
💵,💵,"uang, kertas, dolar, mata"
💶,💶,"uang, kertas, euro, mata"
💷,💷,"uang, kertas, pound, mata"
💸,💸,"uang, bersayap, sayap, terbang, kertas"
💳,💳,"kartu, kredit, uang"
🧾,🧾,"kuitansi, akuntansi, bukti, pembukuan"
💹,💹,"bagan, meningkat, dengan, yen, grafik, pertumbuhan, uang"
✉️,✉️,"amplop, email, surat"
📧,📧,"email, surat"
📨,📨,"amplop, datang, email, masuk, surat, terima"
📩,📩,"amplop, dengan, panah, email, keluar"
📤,📤,"baki, kotak, keluar, surat, terkirim"
📥,📥,"baki, kotak, masuk, surat, terima"
📦,📦,"paket, kotak, parsel"
📫,📫,kotak_surat_tertutup_dengan_bendera_terangkat
📪,📪,kotak_surat_tertutup_dengan_bendera_turun
📬,📬,kotak_surat_terbuka_dengan_bendera_terangkat
📭,📭,kotak_surat_terbuka_dengan_bendera_turun
📮,📮,"kotak, pos, surat"
🗳️,🗳️,kotak_dengan_surat_suara
✏️,✏️,pensil
✒️,✒️,ujung_pena
🖋️,🖋️,pena_tinta
🖊️,🖊️,"pena, bolpoin"
🖌️,🖌️,"kuas, lukisan"
🖍️,🖍️,krayon
📝,📝,"memo, pensil"
💼,💼,tas_kantor
📁,📁,folder_file
📂,📂,folder_file_terbuka
🗂️,🗂️,pembagi_indeks_kartu
📅,📅,"kalender, tanggal"
📆,📆,kalender_sobek
🗒️,🗒️,"catatan, spiral, kertas"
🗓️,🗓️,"kalender, spiral, kertas"
📇,📇,"indeks, kartu, rolodex"
📈,📈,"bagan, meningkat, grafik, naik, pertumbuhan, tren"
📉,📉,"bagan, menurun, grafik, tren, turun"
📊,📊,"diagram, batang, bagan, grafik"
📋,📋,papan_klip
📌,📌,"paku, penanda, pin"
📍,📍,"paku, penanda, bulat, pin"
📎,📎,klip_kertas
🖇️,🖇️,"klip, kertas, tertaut, tautan"
📏,📏,"penggaris, lurus, ujung"
📐,📐,"penggaris, segitiga, rangkaian"
✂️,✂️,"gunting, alat, potong"
🗃️,🗃️,kotak_file_kartu
🗄️,🗄️,"lemari, file, pemberkasan"
🗑️,🗑️,keranjang_sampah
🔒,🔒,"gembok, tutup"
🔓,🔓,"gembok, terbuka, buka, tidak, digembok"
🔏,🔏,"gembok, terkunci, dengan, pena, privasi, tinta, ujung"
🔐,🔐,"gembok, terkunci, dengan, kunci, aman, tutup"
🔑,🔑,"kunci, sandi"
🗝️,🗝️,"kunci, antik, gembok, petunjuk"
🔨,🔨,"palu, alat"
🪓,🪓,"kapak, belah, kayu, potong"
⛏️,⛏️,"beliung, alat, tambang"
⚒️,⚒️,"palu, dan, beliung, alat"
🛠️,🛠️,"palu, dan, kunci, inggris, alat"
🗡️,🗡️,"belati, pisau, senjata"
⚔️,⚔️,"pedang, bersilang, senjata, silang"
🔫,🔫,"pistol, air, alat, revolver, senjata"
🪃,🪃,"bumerang, australia, berbalik, melambung"
🏹,🏹,"busur, dan, panah, pemanah, sagitarius, zodiak"
🛡️,🛡️,"perisai, senjata"
🪚,🪚,"gergaji, kayu, perkakas, tukang"
🔧,🔧,"kunci, inggris, alat"
🪛,🪛,"obeng, alat"
🔩,🔩,"mur, dan, baut, alat"
⚙️,⚙️,"roda, gigi, alat"
🗜️,🗜️,"klem, alat, pengompres"
⚖️,⚖️,"timbangan, gantung, imbang, keadilan, libra, zodiak"
🦯,🦯,"tongkat, tunanetra, aksesibilitas, buta"
🔗,🔗,tautan
⛓️,⛓️,rantai
🪝,🪝,"kait, kail, kurva, titik, jual"
🧰,🧰,"kotak, perkakas, mekanik, peti"
🧲,🧲,"magnet, ladam, magnetik, tarikan"
🪜,🪜,"tangga, anak, panjat"
⚗️,⚗️,"alembic, alat, kimia"
🧪,🧪,"tabung, uji, ahli, kimia, lab, percobaan, sains"
🧫,🧫,"cawan, petri, ahli, biologi, bakteri, kultur, lab"
🧬,🧬,"dna, ahli, biologi, evolusi, gen, genetik, kehidupan"
🔬,🔬,"mikroskop, alat, sains"
🔭,🔭,"teleskop, alat, sains"
📡,📡,"antena, satelit, piring"
💉,💉,"suntikan, jarum, obat, sakit"
🩸,🩸,"tetesan, darah, donor, menstruasi, obat"
💊,💊,"pil, dokter, obat, sakit"
🩹,🩹,plester_luka
🩺,🩺,"stetoskop, dokter, jantung, obat"
🚪,🚪,pintu
🛗,🛗,"elevator, aksesibilitas, kerekan, lift"
🪞,🪞,"cermin, pantulan, reflektor, spekulum"
🪟,🪟,"jendela, bingkai, bukaan, pemadangan, transparan, udara, segar"
🛏️,🛏️,"tempat, tidur, hotel"
🛋️,🛋️,"sofa, dan, lampu, hotel"
🪑,🪑,"bangku, duduk, kursi"
🚽,🚽,toilet
🪠,🪠,"penyedot, wc, toilet, tukang, ledeng"
🚿,🚿,"shower, air"
🛁,🛁,"bathtub, mandi"
🪤,🪤,"perangkap, tikus, jebakan, jerat, umpan"
🪒,🪒,"pisau, cukur, tajam"
🧴,🧴,"botol, losion, moisturizer, sampo, tabir, surya"
🧷,🧷,"peniti, popok, punk, rock"
🧹,🧹,"sapu, membersihkan, menyapu, penyihir"
🧺,🧺,"keranjang, berkebun, cucian, piknik"
🧻,🧻,"gulungan, kertas, tisu, toilet"
🪣,🪣,"ember, tong, wadah"
🧼,🧼,"sabun, batang, busa, mandi, membersihkan, wadah"
🪥,🪥,"sikat, gigi, bersih, dan, mulut, higienis, kamar, mandi"
🧽,🧽,"spons, berpori, membersihkan, menyerap"
🧯,🧯,"alat, pemadam, api, ringan, padam"
🛒,🛒,troli_belanja
🚬,🚬,"rokok, merokok"
⚰️,⚰️,"peti, mati, kematian"
🪦,🪦,"batu, nisan, kuburan, pekuburan, pemakaman"
⚱️,⚱️,"guci, abu, kematian, penguburan"
🗿,🗿,"moai, moyai, patung, wajah"
🪧,🪧,"plakat, demonstrasi, papan, penanda, protes"
🏧,🏧,"tanda, atm, bank, otomatis, teller"
🚮,🚮,"tanda, membuang, sampah, keranjang"
🚰,🚰,"air, dapat, diminum, minum"
♿,♿,"simbol, kursi, roda, akses"
🚹,🚹,"toilet, pria, kamar, kecil, wc"
🚺,🚺,"toilet, wanita, kamar, kecil, wc"
🚻,🚻,"kamar, kecil, toilet, wc"
🚼,🚼,"simbol, bayi, ganti"
🚾,🚾,"kloset, air, kamar, kecil, toilet, wc"
🛂,🛂,kontrol_paspor
🛃,🛃,bea_cukai
🛄,🛄,pengambilan_bagasi
🛅,🛅,"koper, tertinggal, bagasi, barang, loker"
⚠️,⚠️,peringatan
🚸,🚸,"anak-anak, menyeberang, anak, lalu, lintas, trotoar"
⛔,⛔,"dilarang, masuk, lalu, lintas, terlarang, tidak"
🚫,🚫,"dilarang, masuk, terlarang, tidak"
🚳,🚳,"dilarang, bersepeda, kendaraan, sepeda, terlarang, tidak"
🚭,🚭,"dilarang, merokok, terlarang, tidak"
🚯,🚯,"dilarang, membuang, sampah, sembarangan, terlarang, tidak"
🚱,🚱,air_tidak_dapat_diminum
🚷,🚷,"pejalan, kaki, dilarang, masuk, terlarang, tidak"
📵,📵,"dilarang, menggunakan, ponsel, mobile, seluler, telepon, terlarang, tidak"
🔞,🔞,"di, bawah, 18, tahun, dilarang, batasan, usia, delapan, belas, umur"
☢️,☢️,"radioaktif, tanda"
☣️,☣️,"biohazard, tanda"
⬆️,⬆️,"tanda, panah, atas, arah, kardinal, utara"
↗️,↗️,"tanda, panah, kanan, atas, arah, interkardinal, timur, laut"
➡️,➡️,"tanda, panah, kanan, arah, kardinal, timur"
↘️,↘️,"tanda, panah, kanan, bawah, arah, interkardinal, tenggara"
⬇️,⬇️,"tanda, panah, bawah, arah, kardinal, selatan"
↙️,↙️,"tanda, panah, kiri, bawah, arah, barat, daya, interkardinal"
⬅️,⬅️,"tanda, panah, kiri, arah, barat, kardinal"
↖️,↖️,"tanda, panah, kiri, atas, arah, barat, laut, interkardinal"
↕️,↕️,tanda_panah_atas_bawah
↔️,↔️,panah_arah_kanan_kiri
↩️,↩️,tanda_panah_kanan_melengkung_ke_kiri
↪️,↪️,"tanda, panah, kanan, melengkung, ke"
⤴️,⤴️,tanda_panah_kanan_melengkung_ke_atas
⤵️,⤵️,tanda_panah_kanan_melengkung_ke_bawah
🔃,🔃,"tanda, panah, searah, jarum, jam, muat, ulang"
🔄,🔄,"tanda, panah, berlawanan, arah, jarum, jam, berlawan, matahari, kebalikan"
🔙,🔙,"tanda, panah, back, kembali"
🔚,🔚,"tanda, panah, end, berakhir"
🔛,🔛,"tanda, panah, on!, aktif"
🔜,🔜,"tanda, panah, soon, segera"
🔝,🔝,"tanda, panah, top, ke, atas"
🛐,🛐,"tempat, ibadah, agama, pemujaan"
⚛️,⚛️,"simbol, atom, ateis"
🕉️,🕉️,"om, agama, hindu"
✡️,✡️,"bintang, daud, agama, yahudi"
☸️,☸️,"roda, dharma, agama, budha"
☯️,☯️,"yin, yang, agama, tao, taoisme"
✝️,✝️,"salib, latin, agama, kristen"
☦️,☦️,"salib, ortodoks, agama, kristen"
☪️,☪️,"bintang, dan, bulan, agama, islam, muslim"
☮️,☮️,simbol_damai
🕎,🕎,"menorah, agama, candelabra, tempat, lilin"
🔯,🔯,"bintang, sudut, enam, bertitik, ramalan"
♈,♈,"aries, domba, zodiak"
♉,♉,"taurus, banteng, zodiak"
♊,♊,"gemini, kembar, zodiak"
♋,♋,"cancer, kepiting, zodiak"
♌,♌,"leo, singa, zodiak"
♍,♍,"virgo, zodiak"
♎,♎,"libra, adil, seimbang, timbangan, zodiak"
♏,♏,"scorpio, kalajengking, zodiak"
♐,♐,"sagitarius, pemanah, zodiak"
♑,♑,"capricorn, kambing, zodiak"
♒,♒,"aquarius, air, pembawa, zodiak"
♓,♓,"pisces, ikan, zodiak"
⛎,⛎,"ophiuchus, pembawa, ular, zodiak"
🔀,🔀,"tombol, acak, lagu, bersilangan, panah"
🔁,🔁,"tombol, ulangi, panah, searah, jarum, jam"
🔂,🔂,"tombol, ulangi, satu, lagu, panah, searah, jarum, jam, sekali"
▶️,▶️,"tombol, putar, kanan, panah, segitiga"
⏩,⏩,"tombol, maju, cepat, dobel, panah"
⏭️,⏭️,"tombol, lagu, berikutnya, adegan, selanjutnya, panah, segitiga"
⏯️,⏯️,"tombol, putar, atau, jeda, kanan, panah, segitiga"
◀️,◀️,"tombol, mundur, balik, kiri, panah, segitiga"
⏪,⏪,"tombol, mundur, cepat, dobel, panah, putar, balik"
⏮️,⏮️,"tombol, lagu, terakhir, adegan, sebelumnya, panah, segitiga"
🔼,🔼,"tombol, naik, merah, panah"
⏫,⏫,"tombol, naik, cepat, dobel, panah"
🔽,🔽,"tombol, turun, bawah, merah, panah"
⏬,⏬,"tombol, turun, cepat, bawah, dobel, panah"
⏸️,⏸️,"tombol, jeda, batang, dobel, vertikal"
⏹️,⏹️,"tombol, berhenti, kotak"
⏺️,⏺️,"tombol, rekam, lingkaran"
⏏️,⏏️,tombol_keluarkan
🎦,🎦,"film, kamera"
🔅,🔅,"tombol, redupkan, kecerahan, redup, rendah"
🔆,🔆,"tombol, cerahkan, cerah, kecerahan"
📶,📶,"batang, antena, ponsel, seluler, sinyal, telepon"
📳,📳,"mode, getar, ponsel, seluler, telepon"
📴,📴,"ponsel, nonaktif, mati, seluler, telepon"
♀️,♀️,"simbol, wanita, perempuan"
♂️,♂️,"simbol, pria, laki-laki"
⚧️,⚧️,simbol_transgender
✖️,✖️,"kali, batal, perkalian, tanda, x"
➕,➕,"tambah, +, matematika, plus, tanda"
➖,➖,"kurang, -, matematika, minus, tanda"
➗,➗,"bagi, matematika, pembagian, tanda"
♾️,♾️,"tak, terhingga, selamanya, terbatas, universal"
‼️,‼️,"tanda, seru, ganda, bangbang, baca"
⁉️,⁉️,"tanda, seru, dan, tanya, pertanyaan, baca"
❓,❓,"tanda, tanya, merah, pertanyaan, baca"
❔,❔,"tanda, tanya, putih, garis, luar, pertanyaan, baca"
❕,❕,"tanda, seru, putih, garis, luar, baca"
❗,❗,"tanda, seru, merah, baca"
〰️,〰️,"garis, bergelombang, gelombang, tanda, baca, pisah"
💱,💱,"kurs, bank, mata, uang"
💲,💲,"tanda, dolar, tebal, mata, uang, dollar"
⚕️,⚕️,"simbol, kedokteran, aesculapius, tongkat"
♻️,♻️,simbol_daur_ulang
⚜️,⚜️,"fleur-de-lis, tanda"
🔱,🔱,"emblem, trisula, alat, jangkar, kapal"
📛,📛,lencana_nama
🔰,🔰,"simbol, jepang, untuk, pemula, daun, tanda, pangkat"
⭕,⭕,"lingkaran, besar, tebal, o"
✅,✅,tanda_centang_putih_tebal
☑️,☑️,"kotak, bercentang, centang"
✔️,✔️,tanda_centang_tebal
❌,❌,"tanda, silang, batal, kali, perkalian, x"
❎,❎,"tombol, tanda, silang, kotak"
➰,➰,"untaian, bergelombang, gelombang, putaran"
➿,➿,"untaian, bergelombang, ganda, dobel, gelombang, putaran"
〽️,〽️,tanda_alternasi_bagian
✳️,✳️,"bintang, berujung, lancip, delapan, tanda"
✴️,✴️,bintang_berujung_delapan
❇️,❇️,"kilauan, *"
©️,©️,hak_cipta
®️,®️,terdaftar
™️,™️,"merek, dagang, tanda, tm"
#️⃣,#️⃣,keycap_#
0️⃣,0️⃣,keycap_0
1️⃣,1️⃣,keycap_1
2️⃣,2️⃣,keycap_2
3️⃣,3️⃣,keycap_3
4️⃣,4️⃣,keycap_4
5️⃣,5️⃣,keycap_5
6️⃣,6️⃣,keycap_6
7️⃣,7️⃣,keycap_7
8️⃣,8️⃣,keycap_8
9️⃣,9️⃣,keycap_9
🔟,🔟,keycap_10
🔠,🔠,"masukan, huruf, kapital, latin, abcd"
🔡,🔡,"masukan, huruf, kecil, latin, abcd"
🔢,🔢,"masukan, angka, 1234"
🔣,🔣,"masukan, simbol, &%"
🔤,🔤,"masukan, huruf, latin, abc, alfabet"
🅰️,🅰️,"tombol, a, golongan, darah"
🆎,🆎,"tombol, ab, golongan, darah"
🅱️,🅱️,"tombol, b, golongan, darah"
🆑,🆑,tombol_cl
🆒,🆒,tombol_cool
🆓,🆓,"tombol, free, bebas, dalam, kotak"
ℹ️,ℹ️,"informasi, i"
🆔,🆔,"tombol, id, identitas"
Ⓜ️,Ⓜ️,huruf_m_dalam_lingkaran
🆕,🆕,"tombol, new, baru"
🆖,🆖,tombol_ng
🅾️,🅾️,"tombol, o, golongan, darah"
🆗,🆗,"tombol, ok, oke"
🅿️,🅿️,"tombol, p, parkir"
🆘,🆘,"tombol, sos, bantuan"
🆙,🆙,"tombol, up!, ke, atas, tanda"
🆚,🆚,"tombol, vs, versus"
🈁,🈁,"tombol, jepang, ""di, sini"", katakana"
🈂️,🈂️,"tombol, jepang, ""biaya, layanan"", katakana"
🈷️,🈷️,"tombol, jepang, ""jumlah, bulanan"", ideograf"
🈶,🈶,"tombol, jepang, ""tidak, gratis"", ideograf"
🈯,🈯,"tombol, jepang, ""sudah, dipesan"", ideograf"
🉐,🉐,"karakter, keunggulan, dalam, lingkaran, jepang"
🈹,🈹,"tombol, jepang, ""diskon"", ideograf"
🈚,🈚,"tombol, jepang, ""gratis"", ideograf"
🈲,🈲,"tombol, jepang, ""dilarang"", ideograf"
🉑,🉑,"tombol, jepang, ""dapat, diterima"", ideograf, diterima"
🈸,🈸,"tombol, jepang, ""lamaran, kerja"", china, cina, karakter, terapkan, dalam, kotak"
🈴,🈴,"tombol, jepang, ""nilai, kelulusan"", ideograf"
🈳,🈳,"tombol, jepang, ""ada, lowongan"", ideograf"
㊗️,㊗️,"tombol, jepang, ""selamat"", ideograf"
㊙️,㊙️,"tombol, jepang, ""rahasia"", ideograf"
🈺,🈺,"tombol, jepang, ""siap, berbisnis"", ideograf"
🈵,🈵,"tombol, jepang, ""tidak, ada, lowongan"", ideograf"
🔴,🔴,"lingkaran, merah, geometri"
🟠,🟠,lingkaran_oranye
🟡,🟡,lingkaran_kuning
🟢,🟢,lingkaran_hijau
🔵,🔵,"lingkaran, biru, geometri"
🟣,🟣,lingkaran_ungu
🟤,🟤,lingkaran_cokelat
⚫,⚫,"lingkaran, hitam, geometri"
⚪,⚪,"lingkaran, putih, geometri"
🟥,🟥,persegi_merah
🟧,🟧,persegi_oranye
🟨,🟨,persegi_kuning
🟩,🟩,persegi_hijau
🟦,🟦,persegi_biru
🟪,🟪,persegi_ungu
🟫,🟫,persegi_cokelat
⬛,⬛,"persegi, besar, hitam, geometri"
⬜,⬜,"persegi, besar, putih, geometri"
◼️,◼️,"persegi, medium, hitam, geometri"
◻️,◻️,"persegi, medium, putih, geometri"
◾,◾,"persegi, kecil, medium, hitam, geometri"
◽,◽,"persegi, kecil, medium, putih, geometri"
▪️,▪️,"persegi, kecil, hitam, geometri"
▫️,▫️,"persegi, kecil, putih, geometri"
🔶,🔶,"wajik, oranye, besar, geometri"
🔷,🔷,"wajik, biru, besar, geometri"
🔸,🔸,"wajik, oranye, kecil, geometri"
🔹,🔹,"wajik, biru, kecil, geometri"
🔺,🔺,"segitiga, merah, mengarah, ke, atas, geometri"
🔻,🔻,"segitiga, merah, mengarah, ke, bawah, geometri, turun"
💠,💠,"wajik, bertitik, di, dalam, geometri, komik"
🔘,🔘,"tombol, radio, geometri"
🔳,🔳,"tombol, persegi, putih, garis, luar, geometri"
🔲,🔲,"tombol, persegi, hitam, geometri"
🏁,🏁,"bendera, kotak-kotak, balapan, petak-petak"
🚩,🚩,"bendera, segitiga, tiang"
🎌,🎌,"bendera, menyilang, jepang, perayaan, silang"
🏴,🏴,"bendera, hitam, berkibar"
🏳️,🏳️,"bendera, putih, berkibar"
🏳️‍🌈,🏳️‍🌈,bendera_pelangi
🏳️‍⚧️,🏳️‍⚧️,"bendera, transgender, biru, muda, merah, putih"
🏴‍☠️,🏴‍☠️,"bendera, bajak, laut, harta, karun, jolly, roger"
🇦🇨,🇦🇨,bendera_pulau_ascension
🇦🇩,🇦🇩,bendera_andorra
🇦🇪,🇦🇪,bendera_uni_emirat_arab
🇦🇫,🇦🇫,bendera_afganistan
🇦🇬,🇦🇬,bendera_antigua_dan_barbuda
🇦🇮,🇦🇮,bendera_anguilla
🇦🇱,🇦🇱,bendera_albania
🇦🇲,🇦🇲,bendera_armenia
🇦🇴,🇦🇴,bendera_angola
🇦🇶,🇦🇶,bendera_antarktika
🇦🇷,🇦🇷,bendera_argentina
🇦🇸,🇦🇸,bendera_samoa_amerika
🇦🇹,🇦🇹,bendera_austria
🇦🇺,🇦🇺,bendera_australia
🇦🇼,🇦🇼,bendera_aruba
🇦🇽,🇦🇽,bendera_kepulauan_aland
